impressions,hour,campaign,campaign_id,clicks
1943,2012-09-30 16:00:00,1li96,1113,0
48869,2012-09-30 12:00:00,1li98,1117,12
28007,2012-09-30 04:00:00,1de159,1120,23
3325,2012-10-15 09:00:00,1de159,1120,2
1067,2012-10-15 12:00:00,1de159,1120,2
74877,2012-09-28 21:00:00,1de155,1114,24
16687,2012-10-02 03:00:00,1de159,1120,24
27,2012-09-29 04:00:00,1de155,1114,0
29,2012-09-30 10:00:00,1de159,1120,0
84,2012-10-03 06:00:00,1li98,1117,0
10040,2012-10-14 08:00:00,1de159,1120,9
6578,2012-09-29 00:00:00,1li96,1113,2
152922,2012-09-30 08:00:00,1li98,1117,31
5002,2012-09-30 20:00:00,1li96,1113,4
43107,2012-09-30 15:00:00,1li98,1117,11
4315,2012-09-30 18:00:00,1li96,1113,1
35274,2012-09-29 11:00:00,1li96,1113,8
242096,2012-09-28 22:00:00,1de155,1114,24
9021,2012-09-29 07:00:00,1li96,1113,1
10908,2012-10-01 19:00:00,1li96,1113,2
18528,2012-10-14 17:00:00,1de159,1120,9
136703,2012-09-30 19:00:00,1li98,1117,38
46294,2012-10-04 10:00:00,1li98,1117,7
5,2012-09-30 00:00:00,1li98,1117,0
897,2012-10-01 01:00:00,1li96,1113,1
49025,2012-10-01 18:00:00,1li98,1117,12
70419,2012-09-29 09:00:00,1li96,1113,14
6137,2012-10-01 09:00:00,1li96,1113,0
369,2012-10-02 18:00:00,1li98,1117,0
1,2012-10-12 20:00:00,1de159,1120,0
1336,2012-10-16 22:00:00,1de159,1120,1
312,2012-09-30 05:00:00,1li96,1113,0
70904,2012-09-29 08:00:00,1li96,1113,13
19356,2012-10-01 11:00:00,1li98,1117,2
10818,2012-10-01 17:00:00,1li96,1113,4
0,2012-09-29 12:00:00,1de155,1114,0
32058,2012-10-01 00:00:00,1li98,1117,4
2,2012-10-12 23:00:00,1de159,1120,0
194517,2012-09-29 02:00:00,1de155,1114,27
24,2012-09-30 03:00:00,1li96,1113,0
150559,2012-09-30 07:00:00,1li98,1117,48
49745,2012-10-01 08:00:00,1li98,1117,8
1779,2012-10-04 04:00:00,1li98,1117,1
0,2012-09-29 17:00:00,1li98,1117,0
0,2012-09-30 10:00:00,1li97,1116,0
462,2012-09-29 21:00:00,1li96,1113,0
619,2012-10-17 14:00:00,1de159,1120,0
127558,2012-09-30 09:00:00,1li97,1116,27
259,2012-09-30 00:00:00,1li96,1113,0
13478,2012-10-01 01:00:00,1li98,1117,3
18791,2012-10-14 16:00:00,1de159,1120,9
2761,2012-10-14 09:00:00,1de159,1120,3
40966,2012-10-01 19:00:00,1li98,1117,8
2910,2012-09-28 05:00:00,1de154,1112,0
6850,2012-09-30 19:00:00,1li96,1113,2
691,2012-09-30 15:00:00,1li96,1113,0
10759,2012-10-17 00:00:00,1de159,1120,12
90483,2012-09-30 18:00:00,1li98,1117,22
1144,2012-09-30 08:00:00,1li96,1113,0
8787,2012-10-02 09:00:00,1de159,1120,11
678,2012-10-16 21:00:00,1de159,1120,1
86576,2012-09-30 23:00:00,1de159,1120,54
153204,2012-09-30 20:00:00,1li98,1117,33
11593,2012-10-15 07:00:00,1de159,1120,10
595,2012-09-29 23:00:00,1li96,1113,0
1105,2012-09-30 01:00:00,1de159,1120,1
0,2012-09-29 14:00:00,1de155,1114,0
27337,2012-10-02 01:00:00,1de159,1120,27
10192,2012-10-01 07:00:00,1de159,1120,8
65648,2012-09-30 16:00:00,1li98,1117,16
743,2012-09-30 12:00:00,1li96,1113,0
149,2012-10-14 18:00:00,1de159,1120,0
20502,2012-10-02 13:00:00,1de159,1120,3
3386,2012-09-30 23:00:00,1li96,1113,1
5,2012-09-30 08:00:00,1de159,1120,0
1092,2012-09-29 16:00:00,1li96,1113,0
2143,2012-10-15 21:00:00,1de159,1120,1
28053,2012-09-30 15:00:00,1de159,1120,17
4,2012-10-02 22:00:00,1li98,1117,0
1376,2012-10-15 10:00:00,1de159,1120,0
2,2012-09-30 19:00:00,1de159,1120,0
0,2012-09-29 13:00:00,1li97,1116,0
589,2012-09-30 00:00:00,1de159,1120,1
9036,2012-10-01 07:00:00,1li96,1113,0
27135,2012-09-30 12:00:00,1de159,1120,14
10302,2012-09-30 04:00:00,1li98,1117,2
1,2012-10-12 16:00:00,1de159,1120,0
0,,1de159,1120,0
56466,2012-09-30 10:00:00,1li98,1117,15
25090,2012-09-29 06:00:00,1de155,1114,11
767,2012-09-29 23:00:00,1de159,1120,0
132,2012-09-30 01:00:00,1li96,1113,0
576462,2012-10-03 23:00:00,1li98,1117,99
49200,2012-09-29 17:00:00,1li97,1116,7
30545,2012-10-01 17:00:00,1de159,1120,12
60027,2012-10-17 04:00:00,1de159,1120,23
39,2012-10-03 18:00:00,1li98,1117,0
141430,2012-09-30 22:00:00,1li98,1117,41
31684,2012-09-30 05:00:00,1de159,1120,24
16434,2012-10-15 05:00:00,1de159,1120,6
61732,2012-09-30 09:00:00,1li98,1117,10
13915,2012-10-01 09:00:00,1de159,1120,11
18711,2012-10-14 05:00:00,1de159,1120,10
3102,2012-10-14 06:00:00,1de159,1120,5
45,2012-10-01 23:00:00,1li98,1117,0
0,2012-09-29 21:00:00,1de159,1120,0
2,2012-10-16 18:00:00,1de159,1120,0
27080,2012-10-01 15:00:00,1li98,1117,6
15421,2012-09-30 03:00:00,1de159,1120,12
23471,2012-10-01 06:00:00,1li98,1117,2
1899,2012-10-17 13:00:00,1de159,1120,1
4873,2012-10-01 04:00:00,1li98,1117,2
2,2012-10-12 14:00:00,1de159,1120,0
252,2012-09-30 01:00:00,1li98,1117,0
0,2012-09-29 21:00:00,1li97,1116,0
773,2012-09-30 10:00:00,1li96,1113,0
1681,2012-10-17 10:00:00,1de159,1120,3
1540,2012-10-17 12:00:00,1de159,1120,1
11,2012-10-03 17:00:00,1li98,1117,0
43919,2012-10-01 07:00:00,1li98,1117,5
22635,2012-09-30 16:00:00,1de159,1120,22
9488,2012-10-02 14:00:00,1de159,1120,8
120,2012-09-30 04:00:00,1li96,1113,0
16918,2012-10-17 01:00:00,1de159,1120,9
63970,2012-10-01 01:00:00,1de159,1120,46
24149,2012-10-02 16:00:00,1de159,1120,17
3732,2012-09-29 03:00:00,1li96,1113,0
47697,2012-10-14 04:00:00,1de159,1120,26
182591,2012-09-29 01:00:00,1de155,1114,22
56783,2012-10-17 03:00:00,1de159,1120,27
18220,2012-10-14 15:00:00,1de159,1120,9
1,2012-10-01 19:00:00,1de159,1120,0
31,2012-10-02 20:00:00,1li98,1117,0
233,2012-09-30 18:00:00,1de159,1120,0
2,2012-10-12 13:00:00,1de159,1120,0
42067,2012-09-30 23:00:00,1li98,1117,10
23002,2012-09-30 20:00:00,1de159,1120,16
55139,2012-10-02 00:00:00,1de159,1120,33
1537,2012-10-14 11:00:00,1de159,1120,1
57811,2012-09-28 23:00:00,1de155,1114,4
74928,2012-10-01 00:00:00,1de159,1120,38
0,,1li97,1116,0
810,2012-10-01 04:00:00,1li96,1113,0
36,2012-09-30 07:00:00,1de159,1120,1
3941,2012-10-01 06:00:00,1li96,1113,3
15630,2012-10-01 08:00:00,1de159,1120,10
18308,2012-10-02 05:00:00,1de159,1120,15
0,2012-09-29 17:00:00,1de159,1120,0
0,2012-09-29 23:00:00,1li97,1116,0
1,2012-10-13 15:00:00,1de159,1120,0
4549,2012-10-01 15:00:00,1li96,1113,2
21464,2012-10-14 07:00:00,1de159,1120,17
302,2012-10-01 18:00:00,1de159,1120,0
141558,2012-10-04 07:00:00,1li98,1117,24
307,2012-10-16 15:00:00,1de159,1120,0
1,2012-10-14 00:00:00,1de159,1120,0
36541,2012-10-15 03:00:00,1de159,1120,20
